localTime,refTime,TPS,TxnCount,BlockCount
21 Jul 2025 10:50:47,00:00:05:35,1,502,7
21 Jul 2025 10:50:48,00:00:05:36,1,502,7
21 Jul 2025 10:50:49,00:00:05:37,1,502,7
21 Jul 2025 10:50:50,00:00:05:38,1,502,7
21 Jul 2025 10:50:51,00:00:05:39,1,502,7
21 Jul 2025 10:50:52,00:00:05:40,1,502,7
21 Jul 2025 10:50:53,00:00:05:41,1,502,7
21 Jul 2025 10:50:54,00:00:05:42,1,502,7
21 Jul 2025 10:50:55,00:00:05:43,1,502,7
21 Jul 2025 10:50:56,00:00:05:44,1,502,7
21 Jul 2025 10:50:57,00:00:05:45,1,502,7
21 Jul 2025 10:50:58,00:00:05:46,1,502,7
21 Jul 2025 10:50:59,00:00:05:47,1,502,7
21 Jul 2025 10:51:00,00:00:05:48,1,502,7
21 Jul 2025 10:51:01,00:00:05:49,1,502,7
21 Jul 2025 10:51:02,00:00:05:50,1,502,7
21 Jul 2025 10:51:03,00:00:05:51,1,502,7
21 Jul 2025 10:51:04,00:00:05:52,1,502,7
21 Jul 2025 10:51:05,00:00:05:53,1,502,7
21 Jul 2025 10:51:06,00:00:05:54,1,502,7
21 Jul 2025 10:51:07,00:00:05:55,1,502,7
21 Jul 2025 10:51:08,00:00:05:56,1,502,7
21 Jul 2025 10:51:09,00:00:05:57,1,502,7
21 Jul 2025 10:51:10,00:00:05:58,1,502,7
